Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Adecco Ressources Humaines SA,1002 Lausanne; 1201 Genève; 1215 Genève 15 Aéroport; 1227 Genève; 1260 Nyon 1; 1348 Le Brassus; 1400 Yverdon-les-Bains; 1530 Payerne; 1630 Bulle; 1700 Fribourg; 1800 Vevey; 1870 Monthey 2; 1920 Martigny; 1950 Sion; 2000 Neuchâtel; 2300 La Chaux-de-Fonds; 2800 Delémont; 8002 Zürich,https://www.swissstaffing.ch/en/Members/index.php?id=24662,Swiss Staffing,1,Staffing / HR,
"Adecco Ressources Humaines SA, succursale Yverdon Hub",1400 Yverdon-les-Bains,https://www.swissstaffing.ch/en/Members/index.php?id=36144,Swiss Staffing,1,Staffing / HR,
Adecco Risorse Umane SA,6500 Bellinzona; 6600 Locarno; 6904 Lugano,https://www.swissstaffing.ch/en/Members/index.php?id=10674,Swiss Staffing,1,Staffing / HR,
Adecco Switzerland,Zürich,https://www.adecco.com/de-ch,swisscleantech,1,Cleantech / energy,Beratung / Consulting
Adelga AG,Basel,,FINMA,1,Regulated financial services,Portfolio manager
Adeptio GmbH,,https://www.swissmadesoftware.org/en/companies/adeptio-gmbh/home.html,Swiss Made Software,1,Software,
Adequaris AG,Fribourg,,FINMA,1,Regulated financial services,Portfolio manager
Adequate Swiss Sarl,,https://swiss-aerospace-cluster.ch/portfolio-item/adequate-swiss-sarl/,Swiss Aerospace Cluster,1,Aerospace / engineering,
ades AG,8306 Brüttisellen,https://ades.ch/,Swico,1,ICT / consumer electronics,
adesso insurance solutions Schweiz GmbH,4051 Basel,https://www.adesso-insure.ch/,Swico,1,ICT / consumer electronics,
adesso Schweiz AG,8048 Zürich; Bern; Canton of Zurich,https://www.adesso.ch/,Swico; Swiss Medtech; swissICT,3,ICT / consumer electronics; ICT / digital; Medical technology,
"adesso Schweiz AG, Lugano",Canton of Ticino,https://www.adesso.ch/,Swiss Medtech,1,Medical technology,
ADEV Energiegenossenschaft,Basel-Landschaft,https://www.adev.ch/de/,swisscleantech,1,Cleantech / energy,Energiewirtschaft
ADEV Solarstrom AG,Liestal,http://www.adev.ch,Swissolar,1,Solar / energy,Kasernenstrasse 63
Adibilis GmbH,4057 Basel,https://adibilis.ch/de,Swico; Swiss Made Software,2,ICT / consumer electronics; Software,
ADIENNE Pharma & Biotech SA,,https://www.swissbiotech.org/listing/adienne-pharmabiotech-sa/,Swiss Biotech Association,1,Biotech,
Adiposs SA,,https://www.swissbiotech.org/listing/adiposs/,Swiss Biotech Association,1,Biotech,
Adiutor GmbH,,https://www.swissmadesoftware.org/en/companies/adiutor-gmbh/home.html,Swiss Made Software,1,Software,
Adjucom AG,,,asut,1,Telecom / digital infrastructure,
Adjumed Services AG,Zürich,https://adjumed.com/,swisscleantech,1,Cleantech / energy,EDV / IT / Telekommunikation
ADM International Sàrl,"A One Business Center, La Pièce 3 1180 Rolle",https://www.pancosma.com,scienceindustries; Swiss Biotech Association,2,Biotech; Pharma / biotech / chemistry,
Admedics Advanced Medical Solutions AG,Canton of Solothurn,https://www.admedics.com/,Swiss Medtech,1,Medical technology,
ADMIA Solutions AG,,https://www.swissmadesoftware.org/en/companies/admia-solutions-ag/home.html,Swiss Made Software,1,Software,
Admicasa Fondsleitung AG,Zürich,,FINMA,1,Regulated financial services,Fund management company
AdmiCash GmbH,,https://www.swissmadesoftware.org/en/companies/admicash-gmbh/home.html,Swiss Made Software,1,Software,
admiralCX gmbh,,https://www.swissmadesoftware.org/en/companies/admiralcx-gmbh/home.html,Swiss Made Software,1,Software,
Admotec Precision AG,Zürich,https://www.admotec.ch,Swissmem,1,Industry / engineering,
ADN Advanced Digital Network Distribution AG,8152 Glattpark(Opfikon),https://www.adn.de/ch/,Swico,1,ICT / consumer electronics,
ADN FINANCE SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Adnalytics Sàrl,,https://www.swissmadesoftware.org/en/companies/adnalytics-s-rl/home.html,Swiss Made Software,1,Software,
adnexo GmbH,,https://www.swissmadesoftware.org/en/companies/adnexo-gmbh/home.html,Swiss Made Software,1,Software,
Adnovum AG,8005 Zürich; Zürich,https://www.adnovum.ch/,digitalswitzerland; Swico; Swiss Made Software; swissICT,4,Digital economy; ICT / consumer electronics; ICT / digital; Software,
Adobe Research (Schweiz) AG,4052 Basel; Basel,https://www.adobe.com/ch_de/,Swico; swissICT,2,ICT / consumer electronics; ICT / digital,
"Adobe Research (Schweiz) AG, (ehem. Day Software AG)",,https://www.swissmadesoftware.org/en/companies/adobe-research--schweiz--ag---ehem.-day-software-ag-/home.html,Swiss Made Software,1,Software,
Adolf Kühner AG,,https://www.swissbiotech.org/listing/adolf-kuhner-ag/,Swiss Biotech Association,1,Biotech,
adopt it gmbh,,https://www.swissmadesoftware.org/en/companies/adopt-it-gmbh/home.html,Swiss Made Software,1,Software,
Adopt-AI SA,,https://www.swissmadesoftware.org/en/companies/adopt-ai-sa/home.html,Swiss Made Software,1,Software,
Adoram Therapeutics SA,,https://www.swissbiotech.org/listing/adoram-therapeutics-sa/,Swiss Biotech Association,1,Biotech,
Adrian Mattmann Berater und Planer für PV-Anlagen,Visp,https://adrianmattmann.ch,Swissolar,1,Solar / energy,Wichelgasse 13
Adrian Mettler AG,Benken,https://www.adrianmettler.ch,Swissolar,1,Solar / energy,Dorfstrasse 50
Adrian Michel Group AG,Schmiedrued,http://www.adrianmichelgroup.com/,Swissmechanic,1,Industry / SMEs,"Adrian Michel Group AG, Schiltwald 249, 5046 Schmiedrued"
Adularia AG,,https://www.swissbiotech.org/listing/adularia-ag/,Swiss Biotech Association,1,Biotech,
Adullam-Stiftung,Basel,,swissICT,1,ICT / digital,
advact AG,,https://www.swissmadesoftware.org/en/companies/advact-ag/home.html,Swiss Made Software,1,Software,
Adval Tech Management AG,Canton of Bern,https://www.advaltech.com/de/home,Swiss Medtech,1,Medical technology,
Advance,,,digitalswitzerland,1,Digital economy,
"Advanced Accelerator Applications, a Novartis Company",Rue de la tour de l’île 4 1204 Genf,https://www.adacap.com,scienceindustries,1,Pharma / biotech / chemistry,
"Advanced Clinical Research Services Ireland Limited, Dublin, Zweigniederlassung Zug",6300 Zug,https://www.swissstaffing.ch/en/Members/index.php?id=37989,Swiss Staffing,1,Staffing / HR,
Advanced Clinical Switzerland GmbH,,https://www.swissbiotech.org/listing/advanced-clinical-switzerland-gmbh/,Swiss Biotech Association,1,Biotech,
Advanced Concepts AG,Ossingen,https://www.swissmadesoftware.org/en/companies/advanced-concepts-ag/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
Advanced Solutions GmbH,,https://www.swissmadesoftware.org/en/companies/advanced-solutions-gmbh/home.html,Swiss Made Software,1,Software,
Advantage Family Office Services SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Advantage Finance SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Advellence Solutions AG,,https://www.swissmadesoftware.org/en/companies/advellence-solutions-ag/home.html,Swiss Made Software,1,Software,
Adventus Capital AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Advertima Vision AG,,https://www.swissmadesoftware.org/en/companies/advertima-vision-ag/home.html,Swiss Made Software,1,Software,
ADVIGON VERSICHERUNGEN AG,Vaduz,,FINMA,1,Regulated financial services,Insurance activities through the free provision of services in Switzerland
advisors4am gmbh,St. Gallen,https://www.advisors4am.com/,swisscleantech,1,Cleantech / energy,"Beratung / Consulting, Maschinen- / Anlagebau"
Advisory Group AG,Zürich,,swissICT,1,ICT / digital,
Advisum Consulte sarl,Waadt,https://www.swisscleantech.ch/mitglieder/advisum-consulte-sarl/,swisscleantech,1,Cleantech / energy,Beratung / Consulting
Advocado,Zürich,,swissICT,1,ICT / digital,
Advokatur Kohli,,,asut,1,Telecom / digital infrastructure,
ADW Werkstatt / Berufliche Integration,Bärau,http://www.bwo-langnau.ch/,Swissmechanic,1,Industry / SMEs,"ADW Werkstatt / Berufliche Integration, Bäraustrasse 48a, 3552 Bärau"
"Aebi & Co. AG, Maschinenfabrik",Burgdorf,https://www.aebi-schmidt.com/schweiz,Swissmem,1,Industry / engineering,
Aebi Schmidt Holding AG,Glattpark (Opfikon),https://www.aebi-schmidt.com,Swissmem,1,Industry / engineering,
Aebi Schmidt International AG,Glattpark (Opfikon),https://www.aebi-schmidt.com/international,Swissmem,1,Industry / engineering,
Aegeri Capital GmbH,Zug,,FINMA,1,Regulated financial services,Manager of collective assets
Aegerter Swiss Technology AG,Heimberg,https://www.aegerterag.ch,Swiss Aerospace Cluster; Swissmem,2,Aerospace / engineering; Industry / engineering,
aegis medical technologies gmbh,Canton of Solothurn,https://www.aegismedtec.com/index.html,Swiss Medtech,1,Medical technology,
AEK Bank 1826 Genossenschaft,3601 Thun; Thun,http://www.aekbank.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
aellen Elektrotechnik AG,Herisau,https://aellenelektrotechnik.ch/,Swissmechanic,1,Industry / SMEs,"aellen Elektrotechnik AG, Schwellbrunnerstrasse 73, 9100 Herisau"
Aemme Elektro,Signau,https://www.aemme-elektro.ch,Swissolar,1,Solar / energy,Dorfstrasse 9
Aequitec AG,,https://www.swissmadesoftware.org/en/companies/aequitec-ag/home.html,Swiss Made Software,1,Software,
Aequivalent,,https://www.swissmadesoftware.org/en/companies/aequivalent/home.html,Swiss Made Software,1,Software,
Aequor Consultig GmbH,Basel,,swissICT,1,ICT / digital,
Aerni AG,Waldkirch,http://www.aerni-waldkirch.ch/,Swissmechanic,1,Industry / SMEs,"Aerni AG, Brüelstrasse 8, 9205 Waldkirch"
Aero Group SA,La Chaux-de-Fonds,https://www.aerogroup.ch,Swissmem,1,Industry / engineering,
aero+ (Sparte der Jörimann Stahl AG),,https://swiss-aerospace-cluster.ch/portfolio-item/aeroplus/,Swiss Aerospace Cluster,1,Aerospace / engineering,
AeroEx GmbH,,https://swiss-aerospace-cluster.ch/portfolio-item/aeroex-gmbh/,Swiss Aerospace Cluster,1,Aerospace / engineering,
AeroFEM GmbH,,https://swiss-aerospace-cluster.ch/portfolio-item/aerofem/,Swiss Aerospace Cluster,1,Aerospace / engineering,
Aerolite AG,,https://swiss-aerospace-cluster.ch/portfolio-item/aerolite-ag/,Swiss Aerospace Cluster,1,Aerospace / engineering,
Aéroport International de Geneve,,http://www.gva.ch,asut,1,Telecom / digital infrastructure,
Aerospacelab Switzerland sarl,Crissier,https://www.aerospacelab.com/,Swissmem,1,Industry / engineering,
AeroVisto Interior Services AG,,https://swiss-aerospace-cluster.ch/portfolio-item/aerovisto-interior-services-ag/,Swiss Aerospace Cluster,1,Aerospace / engineering,
Aersolution Interior AG,Altdorf UR,https://www.aersolution.com,Swiss Aerospace Cluster; Swissmem,2,Aerospace / engineering; Industry / engineering,
Aerzte-Treuhand Finanz AG,Zollikon,,FINMA,1,Regulated financial services,Manager of collective assets
AES Alternative Energie Systeme GmbH,St. Gallen,http://www.aesgmbh.ch/,swisscleantech,1,Cleantech / energy,Baugewerbe / Immobilien
Aeschi Haustechnik AG,Laufen,https://www.aeschi-haustechnik.ch,Swissolar,1,Solar / energy,Baselstrasse 160
Aeschlimann AG Grünenmatt,Grünenmatt,https://www.aeschgru.ch/,Swissmechanic,1,Industry / SMEs,"Aeschlimann AG Grünenmatt, Sumiswaldstrasse 52, 3452 Grünenmatt"
Aestheticbedarf AG,Canton of Zurich,https://aestheticbedarf.ch/,Swiss Medtech,1,Medical technology,
aevX Bio SA,,https://www.swissbiotech.org/listing/aevx-bio-sa/,Swiss Biotech Association,1,Biotech,
AEW Energie AG,,http://www.aew.ch,asut,1,Telecom / digital infrastructure,
AfA Recruitment & Services GmbH,4600 Olten,https://www.swissstaffing.ch/en/Members/index.php?id=28038,Swiss Staffing,1,Staffing / HR,
AFAC,,https://swiss-aerospace-cluster.ch/portfolio-item/afac/,Swiss Aerospace Cluster,1,Aerospace / engineering,
Afag Automation AG,Zell LU,https://www.afag.com,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Afag Automation AG, Luzernstrasse 32, 6144 Zell LU"
Affolter Group SA,Malleray-Bévilard,https://www.affoltergroup.ch,Swissmem,1,Industry / engineering,
affolter.NET GmbH,,https://www.swissmadesoftware.org/en/companies/affolter.net-gmbh/home.html,Swiss Made Software,1,Software,
AFG Immobilien AG,Arbon,https://www.arbonia.com,Swissmem,1,Industry / engineering,
AFG International AG,Arbon,https://www.arbonia.com,Swissmem,1,Industry / engineering,
Aficor SA,Chanéaz,http://www.aficor.ch/,Swissmechanic,1,Industry / SMEs,"Aficor SA, Route du Village 1, 1409 Chanéaz"
AFIRO ASSOCIATION,Ecublens VD,http://www.afiro.ch/,Swissmechanic,1,Industry / SMEs,"AFIRO ASSOCIATION, Champ-Colomb 13, 1024 Ecublens VD"
AFM ENERGIE VAUD SA,Gland,https://afm-energie-vaud.ch/,Swissolar,1,Solar / energy,Route des Avouillons 30
AFM SA,Bardonnex,https://afm-energie.ch,Swissolar,1,Solar / energy,Chemin des Epinglis 21
aformat AG,Luzern,https://www.aformat.ch/home/,swisscleantech,1,Cleantech / energy,Kommunikation / Marketing / Werbung
AFRY Schweiz AG,Zürich,http://www.afry.com,asut; swisscleantech; Swissrail,3,Cleantech / energy; Rail / transport technology; Telecom / digital infrastructure,Energiewirtschaft
"AFS Execution Services B.V., Amsterdam, Zweigniederlassung Zürich",Zürich,,FINMA,1,Regulated financial services,Foreign securities firm branch office
AFS Trustee Swiss SA,Carouge GE,,FINMA,1,Regulated financial services,Trustee
AG Büro 70,3072 Ostermundigen,https://www.buero70.ch/,Swico; Swiss Made Software,2,ICT / consumer electronics; Software,
AG Elektro AGZ,Altdorf,https://www.elektroagz.ch,Swissolar,1,Solar / energy,Bahnhofstrasse 41
Agappe Diagnostics Switzerland GmbH,Canton of Zug,https://www.agappe.com/swiss,Swiss Medtech,1,Medical technology,
AGAT ! Placements fixes et temporaires SA,1131 Tolochenaz; 1800 Vevey; 1950 Sion,https://www.swissstaffing.ch/en/Members/index.php?id=31144,Swiss Staffing,1,Staffing / HR,
"AGAT ! Placements fixes et temporaires SA, succursale de Lausanne",1018 Lausanne,https://www.swissstaffing.ch/en/Members/index.php?id=27403,Swiss Staffing,1,Staffing / HR,
"AGAT ! Placements fixes et temporaires SA, succursale de Monthey",1870 Monthey,https://www.swissstaffing.ch/en/Members/index.php?id=20360,Swiss Staffing,1,Staffing / HR,
Agathis Finance AG,Frauenfeld,,FINMA,1,Regulated financial services,Portfolio manager
Agathon AG,Canton of Solothurn,https://www.agathon.ch/,Swiss Medtech; Swissphotonics,2,Medical technology; Photonics / sensors / precision,
"Agathon AG, Maschinenfabrik",Bellach,https://www.agathon.com,Swissmem,1,Industry / engineering,
Agave Advisors SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
AGENA SA,Châtel-st-Denis; Forel (Lavaux); MOUDON; Vevey,https://,Swissolar,1,Solar / energy,Avenue du Général-Guisan 28; Chemin de la Veveyse 8A; Chemin du Grand-Pré 1C; Route de l'Industrie 2
Agence CRP Sà - Magazine MedTech Outlook,Canton of Geneva,https://www.medtech-outlook.ch/,Swiss Medtech,1,Medical technology,
Agence Pico SA,,https://www.swissmadesoftware.org/en/companies/agence-pico-sa/home.html,Swiss Made Software,1,Software,
Agence Suisse Du Patrimoine SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
agenda.ch,,https://www.swissmadesoftware.org/en/companies/agenda.ch/home.html,Swiss Made Software,1,Software,
AgenticIT GmbH,3073 Ostermundigen; Ostermundigen,https://agenticit.ch,Swico; swissICT,2,ICT / consumer electronics; ICT / digital,
Agentur Koch,,https://www.swissmadesoftware.org/en/companies/agentur-koch/home.html,Swiss Made Software,1,Software,
Agentur Stoop,,https://www.swissmadesoftware.org/en/companies/agentur-stoop/home.html,Swiss Made Software,1,Software,
Agenza GmbH,,https://www.swissmadesoftware.org/en/companies/agenza-gmbh/home.html,Swiss Made Software,1,Software,
Ageospatial Sàrl,,https://www.swissmadesoftware.org/en/companies/ageospatial-s-rl/home.html,Swiss Made Software,1,Software,
"AGFA, Mortsel/Beigien",8006 Zürich,https://www.agfa.com,Swico,1,ICT / consumer electronics,
AGFIF International AG,Rotkreuz,,FINMA,1,Regulated financial services,Portfolio manager
Agie Charmilles SA,Losone,https://www.gfms.com/de-ch.html,Swissmem,1,Industry / engineering,
Agile Wind Power AG,Dübendorf; Zürich,https://www.agilewindpower.com,swisscleantech; Swissmem,2,Cleantech / energy; Industry / engineering,"Energiewirtschaft, Maschinen- / Anlagebau"
Agilino Softwareentwicklung GmbH c/o Fehr Legal GmbH,Baar,,swissICT,1,ICT / digital,
agilist. cooperative,Olten,,swissICT,1,ICT / digital,
AGILITA AG,Wallisellen,,swissICT,1,ICT / digital,
Agility 3 GmbH,Schwyz,http://www.agility3.ch,swisscleantech,1,Cleantech / energy,Beratung / Consulting
agiltec GmbH,Mettmenstetten,https://www.agiltec.ch,Swissolar,1,Solar / energy,Leigrüppenstrasse 7
AGM Jactex AG,Neuhausen,https://www.agm-jactex.ch,Swissmem,1,Industry / engineering,
AGON PARTNERS INNOVATION AG,Wilen b. Wollerau,https://www.swissmadesoftware.org/en/companies/agon-partners-innovation-ag/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
AgonPro AG,Thun,,swissICT,1,ICT / digital,
Agora Capital SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Agora Care SA,,https://www.swissmadesoftware.org/en/companies/agora-care-sa/home.html,Swiss Made Software,1,Software,
AGORA SecureWare,,https://www.swissmadesoftware.org/en/companies/agora-secureware/home.html,Swiss Made Software,1,Software,
AGRAPI,,https://www.agrapi.ch/,asut,1,Telecom / digital infrastructure,
Agrar Landtechnik AG,Balterswil,http://www.agrar-landtechnik.ch/,Swissmechanic,1,Industry / SMEs,"Agrar Landtechnik AG, Hauptstrasse 68, 8362 Balterswil"
Agrisano Versicherungen AG,Brugg AG,,FINMA,1,Regulated financial services,Health insurance company under ICA
AGROLA AG,Basel; Bern; Puidoux; Sursee; Winterthur,https://www.agrola.ch,Swissolar,1,Solar / energy,Bordeaux-Strasse 5; Erlachstrasse 5; Obstfeldstr. 1; Route de Chardonne 2; Theaterstrasse 15a
Agthemis Re AG,Zug,,FINMA,1,Regulated financial services,reinsurance captive
Aguaverde Family Office SA,Zug,,FINMA,1,Regulated financial services,Portfolio manager
AGYTEC SA,Tavannes,https://info@agytech.ch,Swissmem,1,Industry / engineering,
AHA Personal AG,6003 Luzern; 6300 Zug,https://www.swissstaffing.ch/en/Members/index.php?id=17648,Swiss Staffing,1,Staffing / HR,
ahead,,https://www.swissmadesoftware.org/en/companies/ahead/home.html,Swiss Made Software,1,Software,
ahtida Health Clinic GmbH,,https://www.swissbiotech.org/listing/ahtida-health-clinic-gmbh/,Swiss Biotech Association,1,Biotech,
